ID	Prolif_1	Prolif_2	Prolif_3	Senes_1	Senes_2	Senes_3	Senes_MtD_1	Senes_MtD_2	Senes_MtD_3
ENSG00000077152	854.66	974.28	959.98	149.36	215.86	165.46	124.24	146.64	116.93
ENSG00000236048	12.91	14.07	8.13	6.22	9.57	8.22	21.19	11.22	10.17
ENSG00000077150	1861.65	2039.13	2046.49	2078.59	2171.4	1850.89	886.09	987.6	893.91
ENSG00000060558	0	0	1.16	1.04	4.25	2.06	0.96	1.5	0.85
ENSG00000232742	27.11	24.62	15.09	22.82	20.2	28.78	16.37	13.47	17.79
ENSG00000235531	329.21	313.91	318.06	283.16	227.56	309.34	934.24	970.39	926.96
ENSG00000181291	0	7.03	0	6.22	6.38	7.19	4.82	3.74	3.39
ENSG00000232748	16.78	17.59	17.41	32.15	14.89	12.33	17.34	18.7	19.49
ENSG00000278126	37.44	52.76	44.11	28	34.03	20.55	27.93	13.47	17.79
ENSG00000270898	0	0	2.32	1.04	3.19	3.08	2.89	1.5	0
ENSG00000270890	12.91	14.95	11.61	23.86	8.51	15.42	12.52	8.98	13.56
ENSG00000081665	125.23	117.83	91.7	73.64	73.37	83.24	174.33	142.15	158.45
ENSG00000116560	17360.37	17237.19	17214.64	6207.76	6012.3	5967.85	6139.03	6323.64	6345.5
ENSG00000261556	36.15	43.97	46.43	80.9	84.01	62.69	85.72	102.5	105.07
ENSG00000139131	985.05	1035.83	1006.41	537.28	664.61	570.37	686.72	710.03	695.64
ENSG00000139133	143.3	103.76	102.15	16.6	27.65	35.97	45.27	29.93	40.67
ENSG00000223561	0	0.88	1.16	2.07	0	2.06	9.63	8.23	5.08
ENSG00000151006	21.95	22.86	42.95	115.13	119.1	115.1	175.29	156.37	189.8
ENSG00000224699	14.2	8.79	13.93	18.67	31.9	23.64	9.63	14.96	17.79
ENSG00000099974	42.6	31.66	12.77	48.75	53.17	37	28.89	38.16	30.5
ENSG00000099977	10.33	13.19	6.96	14.52	8.51	11.3	10.59	8.23	6.78
ENSG00000224690	0	1.76	0	6.22	7.44	6.17	1.93	0.75	3.39
ENSG00000266282	9.04	9.67	15.09	12.45	22.33	9.25	9.63	5.99	14.4
ENSG00000116288	6954.73	7602.55	6642.09	5770.05	7165	5380.01	6303.73	7665.13	6942.01
ENSG00000153531	94.24	102	91.7	114.09	95.7	107.91	861.04	649.42	840.53
ENSG00000197928	317.59	284.02	299.49	298.72	243.51	306.25	807.11	727.23	792.23
ENSG00000197927	107.15	99.36	124.21	181.51	193.53	181.9	209	179.56	194.03
ENSG00000266289	3.87	3.52	2.32	7.26	10.63	10.28	0	2.24	1.69
ENSG00000076650	389.89	341.17	335.47	309.09	332.84	310.37	536.47	549.17	467.71
ENSG00000087884	192.36	216.31	193.85	228.19	349.85	224.04	84.76	99.51	102.52
ENSG00000212296	1.29	0	2.32	6.22	6.38	1.03	1.93	1.5	3.39
ENSG00000180525	20.66	22.86	12.77	33.19	27.65	43.16	18.3	10.47	8.47
ENSG00000104885	1717.06	1768.3	1966.39	717.76	734.79	663.89	1084.49	1045.96	1106.59
ENSG00000140632	3906.63	3883.93	3812.06	3522.4	2876.42	3700.75	3759.12	3562.85	3530.74
ENSG00000169251	3042.94	2673.11	2719.75	2393.9	2136.31	2585.69	2278.78	2216.12	2313.15
ENSG00000169253	2.58	4.4	8.13	9.33	9.57	3.08	1.93	10.47	7.63
ENSG00000169252	274.99	338.54	275.11	226.11	217.99	219.93	900.53	874.63	943.9
ENSG00000169255	768.16	728.95	747.55	744.72	953.84	919.79	422.82	461.63	465.17
ENSG00000223509	63.26	47.48	44.11	72.61	61.68	68.86	34.67	35.16	30.5
ENSG00000261395	3.87	1.76	2.32	0	1.06	3.08	0.96	0.75	1.69
ENSG00000169258	893.39	990.11	890.33	337.1	315.82	387.44	387.18	383.07	381.29
ENSG00000261396	0	0	1.16	3.11	4.25	1.03	0.96	0	2.54
ENSG00000261392	0	1.76	1.16	2.07	1.06	2.06	0	0.75	0.85
ENSG00000189292	1.29	0.88	1.16	1.04	0	2.06	0.96	3.74	0.85
ENSG00000189298	210.44	233.9	162.51	201.22	203.1	232.26	188.77	138.41	156.75
ENSG00000234371	1.29	3.52	3.48	1.04	7.44	5.14	2.89	2.24	5.08
ENSG00000234373	45.19	33.41	24.38	6.22	7.44	7.19	11.56	8.98	7.63
ENSG00000239539	0	2.64	2.32	2.07	0	0	0.96	1.5	0
ENSG00000079263	194.94	189.05	163.67	96.46	88.26	57.55	197.44	210.24	200.81
ENSG00000239532	1.29	3.52	3.48	0	6.38	2.06	1.93	0.75	0
ENSG00000239533	0	0	0	1.04	0	6.17	0	1.5	0
ENSG00000142675	5.16	0.88	8.13	6.22	12.76	12.33	14.45	15.71	19.49
ENSG00000142676	20004.38	20657.72	18423.03	14356.16	19804.23	13556.39	11154.08	14210.99	11926.73
ENSG00000224034	1.29	3.52	3.48	4.15	0	0	4.82	0.75	4.24
ENSG00000224032	240.13	235.66	189.21	359.92	430.67	349.42	280.27	342.67	335.53
ENSG00000131941	171.71	179.38	181.08	67.42	65.93	89.41	375.62	357.63	349.94
ENSG00000106178	1.29	0	2.32	5.19	8.51	4.11	0.96	0	0.85
ENSG00000103507	2298.02	2507.8	2300.7	1861.81	1989.57	1707.01	1556.43	1690.89	1494.65
ENSG00000130520	3253.37	3574.41	3276.93	2443.69	2980.63	2239.36	3202.43	3880.08	3557.85
ENSG00000262155	14.2	8.79	8.13	17.63	22.33	27.75	22.15	20.2	16.95
ENSG00000164961	3967.31	3851.39	3989.66	2418.8	1804.54	2672.02	2826.8	2558.79	2547.01
ENSG00000080845	4603.78	4895.14	4812.67	3906.17	3170.97	3576.4	5930.03	5401.88	5336.35
ENSG00000176761	0	1.76	1.16	5.19	4.25	4.11	2.89	8.23	2.54
ENSG00000263823	12.91	13.19	10.45	18.67	19.14	17.47	20.23	24.69	26.27
ENSG00000263826	16.78	21.1	19.73	68.46	36.15	61.66	22.15	17.21	11.02
ENSG00000263829	1.29	0	1.16	1.04	0	1.03	1.93	1.5	0.85
ENSG00000253899	0	1.76	1.16	1.04	1.06	2.06	0.96	1.5	4.24
ENSG00000134077	1476.93	1341.83	1384.83	952.17	877.28	1046.2	1747.13	1588.39	1654.8
ENSG00000134072	191.07	225.98	206.62	130.69	124.41	109.96	76.09	80.8	92.36
ENSG00000134070	859.82	804.57	792.83	572.55	427.48	496.38	254.27	243.91	230.47
ENSG00000105612	1121.9	1233.68	1144.55	1467.67	2163.96	1538.47	845.63	963.66	917.64
ENSG00000105617	330.5	336.78	291.36	210.56	243.51	195.26	193.59	216.97	209.29
ENSG00000225639	1.29	3.52	1.16	1.04	1.06	0	0	0	2.54
ENSG00000166347	1280.69	1302.26	1247.86	1535.09	1779.02	1526.13	1163.47	1395.36	1247.24
ENSG00000105619	348.58	382.5	323.86	303.91	403.02	268.23	612.55	721.25	685.47
ENSG00000166343	30.98	29.02	44.11	106.83	141.43	123.32	63.57	60.6	43.21
ENSG00000225630	2513.62	2465.6	2592.06	7605.93	8776	8402.47	67.42	71.08	77.11
ENSG00000166341	1216.14	1340.07	1438.23	398.29	282.86	504.6	126.17	89.78	100.83
ENSG00000244251	5.16	4.4	3.48	3.11	9.57	4.11	2.89	3.74	1.69
ENSG00000253893	5.16	5.28	3.48	6.22	7.44	4.11	2.89	3.74	5.08
ENSG00000244256	3.87	1.76	0	3.11	3.19	4.11	3.85	4.49	2.54
ENSG00000229127	5.16	5.28	4.64	6.22	5.32	8.22	1.93	5.24	2.54
ENSG00000229124	58.1	57.16	63.84	66.38	119.1	85.3	48.16	52.37	63.55
ENSG00000229122	5.16	1.76	5.8	28	38.28	17.47	15.41	13.47	10.17
ENSG00000184524	107.15	132.78	103.31	157.66	180.77	122.3	147.36	154.13	160.99
ENSG00000196976	345.99	363.16	290.2	530.02	745.42	473.77	745.47	893.33	793.93
ENSG00000189129	105.86	106.4	130.01	101.65	132.92	92.49	39.49	41.9	30.5
ENSG00000168612	286.61	317.43	275.11	264.49	327.52	330.92	611.59	618.75	564.31
ENSG00000189127	1.29	0	1.16	2.07	2.13	4.11	0.96	0	0.85
ENSG00000163644	203.98	201.36	192.69	748.87	669.92	731.72	584.62	562.63	634.63
ENSG00000163645	0	2.64	1.16	2.07	2.13	2.06	0	0	1.69
ENSG00000168615	30524.91	27574.4	29331.06	31543.93	30102.98	36993.08	25407.53	22677.43	23531.47
ENSG00000188659	3.87	2.64	3.48	29.04	13.82	11.3	35.64	47.88	54.23
ENSG00000158941	3161.71	3238.51	3036.65	2362.79	2452.13	2355.49	2867.26	3096.73	3118.95
